[55807, 76565833]    True    [0, 1]
[58411, 21494881]    True    [1, 1]
[73453, 37093261]    True    [2, 1]
[74821, 32397061]    True    [2, 0]
[90379, 22504123]    True    [1, 1]
[116381, 11288861]    True    [2, 2]
[135077, 12156841]    True    [2, 2]
[140741, 34622041]    True    [2, 2]
[147853, 9314677]    True    [2, 0]
[159403, 86236483]    True    [1, 1]
[160969, 7565497]    True    [2, 2]
[181813, 13272277]    True    [2, 0]
[183829, 8272261]    True    [2, 0]
[184031, 13118711]    True    [0, 0]
[187711, 12201151]    True    [0, 1]
[187927, 16537489]    True    [0, 1]
[193847, 25587673]    True    [0, 0]
[199751, 11321831]    True    [0, 0]
[207821, 45595709]    True    [2, 2]
[212701, 9358801]    True    [2, 1]
[213467, 7684777]    True    [1, 0]
[218887, 7879897]    True    [0, 1]
[220357, 37093261]    True    [2, 1]
[225223, 4504441]    True    [0, 1]
[227111, 10901281]    True    [0, 0]
[227159, 5451793]    True    [0, 0]
[231079, 51761473]    True    [0, 1]
[231533, 5788301]    True    [2, 2]
[237901, 5471701]    True    [2, 1]
[240899, 5781553]    True    [1, 0]
[245909, 4672253]    True    [2, 2]
[249317, 7728797]    True    [2, 2]
[252079, 8066497]    True    [0, 1]
[252173, 7565161]    True    [2, 2]
[255733, 6137569]    True    [2, 0]
[255919, 5767999]    True    [0, 1]
[257503, 4120033]    True    [0, 1]
[260269, 28369213]    True    [2, 1]
[260747, 6518651]    True    [1, 0]
[261509, 9675797]    True    [2, 2]
[262909, 8413057]    True    [2, 1]
[270191, 6754751]    True    [0, 0]
[271003, 5691043]    True    [1, 1]
[274451, 23328251]    True    [1, 0]
[275741, 78034421]    True    [2, 2]
[277579, 6661873]    True    [1, 1]
[278557, 7521013]    True    [2, 0]
[280069, 175042501]    True    [2, 0]
[287141, 22396921]    True    [2, 2]
[288773, 5197897]    True    [2, 2]
[290557, 6392233]    True    [2, 1]
[293213, 5571029]    True    [2, 2]
[296581, 5338441]    True    [2, 1]
[296651, 3856451]    True    [1, 0]
[302213, 12995117]    True    [2, 2]
[303019, 6060361]    True    [1, 1]
[307163, 3993107]    True    [1, 0]
[314651, 3775801]    True    [1, 0]
