1    400673    [5, 1718067053]    [2, 2]
2    951473    [5, 1718177213]    [2, 2]
3    7179473    [5, 1719422813]    [2, 2]
4    9732593    [5, 1719933437]    [2, 2]
5    29201393    [5, 1723827197]    [2, 2]
6    38336753    [5, 1725654269]    [2, 2]
7    84061073    [5, 1734799133]    [2, 2]
8    92763713    [5, 1736539661]    [2, 2]
9    99261353    [5, 1737839189]    [2, 2]
10    107910593    [5, 1739569037]    [2, 2]
11    126544313    [5, 1743295781]    [2, 2]
12    186250673    [5, 1755237053]    [2, 2]
13    242439113    [5, 1766474741]    [2, 2]
14    245690273    [5, 1767124973]    [2, 2]
15    373686593    [5, 1792724237]    [2, 2]
16    495794273    [5, 1817145773]    [2, 2]
17    544922273    [5, 1826971373]    [2, 2]
18    645155273    [5, 1847017973]    [2, 2]
19    777666113    [5, 1873520141]    [2, 2]
20    788166353    [5, 1875620189]    [2, 2]
21    818399873    [5, 1881666893]    [2, 2]
22    1076883713    [5, 1933363661]    [2, 2]
23    1264022753    [5, 1970791469]    [2, 2]
24    1373339513    [5, 1992654821]    [2, 2]
25    1606179953    [5, 2039222909]    [2, 2]
26    681577    [5, 2577116693]    [2, 2]
27    1912417    [5, 2577362861]    [2, 2]
28    4406857    [5, 2577861749]    [2, 2]
29    8525257    [5, 2578685429]    [2, 2]
30    8632897    [5, 2578706957]    [2, 2]
31    29885857    [5, 2582957549]    [2, 2]
32    36935977    [5, 2584367573]    [2, 2]
33    57276817    [5, 2588435741]    [2, 2]
34    68040817    [5, 2590588541]    [2, 2]
35    98685457    [5, 2596717469]    [2, 2]
36    100534057    [5, 2597087189]    [2, 2]
37    104746057    [5, 2597929589]    [2, 2]
38    115065457    [5, 2599993469]    [2, 2]
39    115871977    [5, 2600154773]    [2, 2]
40    158257177    [5, 2608631813]    [2, 2]
41    160508257    [5, 2609082029]    [2, 2]
42    178914697    [5, 2612763317]    [2, 2]
43    181822417    [5, 2613344861]    [2, 2]
44    221928577    [5, 2621366093]    [2, 2]
45    253322017    [5, 2627644781]    [2, 2]
46    277260217    [5, 2632432421]    [2, 2]
47    351241657    [5, 2647228709]    [2, 2]
48    372231457    [5, 2651426669]    [2, 2]
49    472842097    [5, 2671548797]    [2, 2]
50    695089057    [5, 2715998189]    [2, 2]
51    1054201057    [5, 2787820589]    [2, 2]
52    1409712577    [5, 2858922893]    [2, 2]
53    1735155097    [5, 2924011397]    [2, 2]
54    1778222257    [5, 2932624829]    [2, 2]
55    1808907217    [5, 2938761821]    [2, 2]
56    6981065    [5, 4296363509]    [2, 2]
57    9088865    [5, 4296785069]    [2, 2]
58    11819465    [5, 4297331189]    [2, 2]
59    12600065    [5, 4297487309]    [2, 2]
60    14742065    [5, 4297915709]    [2, 2]
61    19167785    [5, 4298800853]    [2, 2]
62    43797185    [5, 4303726733]    [2, 2]
63    88342865    [5, 4312635869]    [2, 2]
64    122965505    [5, 4319560397]    [2, 2]
65    166208705    [5, 4328209037]    [2, 2]
66    182754305    [5, 4331518157]    [2, 2]
67    310788305    [5, 4357124957]    [2, 2]
68    332404865    [5, 4361448269]    [2, 2]
69    421895105    [5, 4379346317]    [2, 2]
70    484869905    [5, 4391941277]    [2, 2]
71    616460705    [5, 4418259437]    [2, 2]
72    675265985    [5, 4430020493]    [2, 2]
73    1059106265    [5, 4506788549]    [2, 2]
74    1069629185    [5, 4508893133]    [2, 2]
75    1324183265    [5, 4559803949]    [2, 2]
76    1568523905    [5, 4608672077]    [2, 2]
77    1623025985    [5, 4619572493]    [2, 2]
78    1654018865    [5, 4625771069]    [2, 2]
79    2420113985    [5, 4778990093]    [2, 2]
